"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"128",128,-4.14361185245566,0.618466442149526,-2.55763817045479,0.396090280794514,-2.38144370931213,0.370421309244348,3.41754205562175,"KRA",-0.325
"129",129,-4.14361185245566,0.618466442149526,-3.29401192850479,0.496238233851791,-2.99446092583194,0.558295671339138,3.47317119464278,"KRA",-0.475
"130",130,-4.14361185245566,0.618466442149526,-2.71304781010864,0.50526033929494,-2.15863609391733,0.711353861646656,3.3937009960413,"KRA",-0.525
"131",131,-4.14361185245566,0.618466442149526,-3.64444821676826,0.729514383925545,-3.23637516048054,0.691587073712941,3.41941250115633,"KRA",0.225
"132",132,-4.14361185245566,0.618466442149526,-2.33583601376115,0.151688582973468,-2.31159472981162,0.13107835372326,3.51173845231533,"KRA",0.325
"133",133,-4.14361185245566,0.618466442149526,-2.71681949255388,0.211411168628718,-2.66112771545614,0.228816710208936,3.53441167026758,"KRA",0.375
"134",134,-4.14361185245566,0.618466442149526,-2.7535998557949,0.265900592794599,-2.66812160629357,0.282157088072443,3.47784774005413,"KRA",0.425
"135",135,-4.08110870964042,0.579726090992902,-2.02277963645986,0.423305452629295,-1.68525440796647,0.477612755038497,1.53429366722703,"LAC",0.175
"136",136,-4.14361185245566,0.618466442149526,-2.16647222143617,0.629093415493527,-1.06623570833137,0.703842218589012,3.47846920788288,"LAC",0.175
"137",137,-4.14361185245566,0.618466442149526,-2.13516326611062,0.555884741769366,-1.64623856011667,0.519369720550401,3.3937009960413,"LAC",0.225
"138",138,-4.38425713515787,0.352834451399586,-3.01173582185993,0.290181256158529,-2.86119718431397,0.273880665655155,-0.642872381955385,"PRE",-0.025
"139",139,-4.25678274689645,0.531239644592783,-3.01697652625147,0.368723558273974,-2.79267479943657,0.425437960178615,1.6879360511899,"PRE",0.075
"140",140,-4.25678274689645,0.531239644592783,-2.74100275788841,0.381218704569205,-2.55812178729316,0.352831094554538,1.6879360511899,"PRE",0.125
"141",141,-4.38425713515787,0.352834451399586,-2.68053397448711,0.275006440003765,-2.56101638671118,0.284227245281118,-0.790588071383536,"PRM",0.175
"142",142,-4.38425713515787,0.352834451399586,-2.60392319004492,0.31732604625104,-2.38225433110481,0.406369153725813,-0.769485830036657,"PRM",0.325
"143",143,-4.32139380550386,0.410798100739766,-2.88807187389962,0.42509451325106,-2.3689021375967,0.626339311004352,3.68992585614324,"PRM",0.075
"144",144,-4.32139380550386,0.410798100739766,-3.12208735476558,0.327752169010727,-2.64914569333664,0.690602541320049,3.63262628238346,"PRM",0.125
"145",145,-4.32139380550386,0.410798100739766,-2.71334628582837,0.495873832980582,-2.19266344006972,0.530831819959158,3.61866252071091,"PRM",0.175
"146",146,-4.32139380550386,0.410798100739766,-2.91862213898761,0.360535677279114,-2.54501058801139,0.533575512509207,3.66498368874193,"PRM",0.225
"147",147,-4.25678274689645,0.531239644592783,-2.91864966162569,0.400106054887058,-2.63716553913745,0.479660176632346,1.73544504716993,"PRM",0.075
"148",148,-4.25678274689645,0.531239644592783,-3.31659405673466,0.372971690957097,-3.08120742730446,0.432500691165297,1.6879360511899,"PRM",0.125
"149",149,-4.25678274689645,0.531239644592783,-2.98702674621083,0.284557556519357,-2.85780314892467,0.326778454217348,1.6879360511899,"PRM",0.275
"150",150,-4.08110870964042,0.579726090992902,-2.81421620859003,0.208751347023131,-2.76819875143236,0.183346796576852,1.53429366722703,"PRM",0.075
"151",151,-4.08110870964042,0.579726090992902,-2.91860263912281,0.371517532182716,-2.77456557806955,0.320084768539986,1.5128539783614,"PRM",0.175
